ope6_id,name,city,state,zip,college_url,ownership,locale,carnegie_basic,acceptance_rate,sat_25,sat_75,sat_math_25,sat_math_75,sat_cr_25,sat_cr_75,sat_avg,sat_range,act_25,act_75,act_mid,act_range,enrollment,retention_rate,student_faculty_ratio,pct_men,pct_women,pct_white,pct_black,pct_hispanic,pct_asian,pct_two_or_more,tuition_in_state,tuition_out_state,net_price,cost_attendance,median_debt,pell_rate,loan_rate,grad_rate,earnings_6yr,earnings_8yr,earnings_10yr
003035,Ohio Dominican University,Columbus,OH,43219,https://www.ohiodominican.edu/,Private,City,19,85.2,,,,,,,1150,,20,28,,20-28,785,59.8,12,48.5,51.5,53.0,27.5,6.1,1.7,4.5,34370,34370,19476,45660,26000,39.0,61.4,49.2,37400,46413,51748
003089,Ohio Northern University,Ada,OH,45810-1599,www.onu.edu/,Private,Town,22,73.4,1173,1376,593,698,580,678,1290,1173-1376,25,29,25,25-29,2386,87.5,13,55.4,44.6,80.0,2.9,4.3,1.8,4.9,37800,37800,25727,52484,27000,19.0,55.4,73.3,59600,69461,80928
003090,Ohio State University-Main Campus,Columbus,OH,43201,www.osu.edu/,Public,City,15,50.8,1330,1480,680,760,650,720,1407,1330-1480,29,32,29,29-32,44617,94.1,18,49.5,50.5,61.9,7.9,5.7,9.8,4.6,12859,38365,18292,29320,19976,19.4,30.4,87.9,41500,56186,60409
003100,Ohio University-Main Campus,Athens,OH,45701-2979,https://www.ohio.edu/,Public,Town,15,84.8,1100,1290,540,640,560,650,1212,1100-1290,22,28,25,22-28,18456,82.5,18,39.0,61.0,81.8,5.0,4.5,1.6,4.0,13746,24114,20413,28529,21056,20.4,46.7,65.7,35900,52244,52581
003109,Ohio Wesleyan University,Delaware,OH,43015-2370,https://www.owu.edu/,Private,Suburb,21,50.7,1105,1350,555,665,550,685,1311,1105-1350,25,31,25,25-31,1450,84.3,11,42.8,57.2,73.7,7.2,5.0,3.0,4.7,52357,52357,21619,66399,27000,24.6,61.9,64.0,33900,48945,55624
004481,Ohlone College,Fremont,CA,94539-0390,www.ohlone.edu/,Public,City,8,,,,,,,,,,,,,,6958,,26,51.9,48.0,13.4,3.3,24.9,43.1,5.4,1202,8714,14130,22906,,11.3,0.6,,38100,49568,54278
011984,Ohr Hameir Theological Seminary,Peekskill,NY,10566,https://ohrhameir.com/,Private,Suburb,-2,,,,,,,,,,,,,,94,100.0,16,100.0,0.0,96.8,0.0,0.0,0.0,0.0,10150,10150,,,,60.4,0.0,,,,
003164,Oklahoma Baptist University,Shawnee,OK,74804,https://www.okbu.edu/,Private,Town,20,55.7,1000,1190,490,590,510,600,1173,1000-1190,20,28,22,20-28,1292,68.6,15,45.8,54.2,62.8,6.8,2.0,1.2,16.7,34050,34050,23880,46950,24801,30.7,44.1,51.9,33500,45143,48434
003165,Oklahoma Christian University,Edmond,OK,73013,www.oc.edu/,Private,City,19,97.1,1000,1220,500,610,500,610,1117,1000-1220,19,27,23,19-27,1897,77.3,15,42.4,57.6,61.6,12.8,10.7,2.8,8.5,25900,25900,21423,38029,26000,30.1,43.9,56.0,36300,48426,49203
010391,Oklahoma City Community College,Oklahoma City,OK,73159-9987,www.occc.edu/,Public,City,1,,,,,,,,,,,,,,9578,,21,35.8,64.2,41.9,10.9,23.6,5.2,7.4,4059,9810,5135,11439,10388,27.8,11.9,,30800,35161,38146
003166,Oklahoma City University,Oklahoma City,OK,73106-1402,www.okcu.edu/,Private,City,17,70.4,,,,,,,1150,,20,26,25,20-26,1433,83.0,11,34.0,66.0,62.6,6.3,13.0,2.6,8.3,33586,33586,21556,46144,20835,22.6,47.8,66.9,40700,53863,54655
003174,Oklahoma Panhandle State University,Goodwell,OK,73939-0430,https://opsu.edu/,Public,Rural,22,,,,,,,,,,,,,,997,47.1,19,41.9,58.1,49.5,12.7,21.9,0.7,2.6,7922,8673,7557,14356,12500,43.6,65.2,24.0,33800,41985,44933
011282,Oklahoma State University Center for Health Sciences,Tulsa,OK,74107-1898,https://medicine.okstate.edu/,Public,City,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
